"vehicle_id","miles_used","color","engine_type","transmission_type","number_of_seats"
861323,,"Navy Blue","Turbocharged Gas I4","6-speed automatic",3
739065,74560,"Navy Blue","Gasoline (V6)","Xtronic CVT®",5
57613,,"Grey","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
872783,42056,"White","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
618294,,"Grey","Gas","10-speed shiftable automatic",5
692009,,"White","Gas","8-speed automatic",5
963618,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
892697,,"Grey","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
646976,,"Black","Gasoline (V6)","8-speed shiftable automatic",7
306056,,"White","Gasoline (V6)","8-speed shiftable automatic",7
650950,,"Red","Gasoline (V6)","Xtronic CVT®",5
385217,59954,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
140308,,"White","Gas","10-speed shiftable automatic",5
104734,,"Red","Turbocharged Gas I4","6-speed automatic",3
731682,,"Red","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
780542,,"Silver","Turbocharged Gas I4","8-speed automatic",5
246834,,"White","Gas","8-speed automatic",5
874969,,"Black","Gasoline (V6)","Xtronic CVT®",5
742110,,"Silver","Gas/Electric I-4","CVT w/OD",5
258054,,"Silver","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
114460,21892,"Red","Gasoline (V6)","8-speed shiftable automatic",7
972332,,"Red","Gasoline (I-4)","CVT",5
165793,,"Grey","Gasoline (V6)","Xtronic CVT®",5
423397,,"Grey","Gas/Electric I-4","CVT w/OD",5
15121,54444,"White","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
496125,,"White","Gas/Electric I-4","CVT",5
728803,,"White","Gas/Electric I-4","CVT w/OD",5
551771,,"Grey","Gas (V6)","8-speed shiftable automatic",7
731210,,"White","Gas (V6)","9-speed automatic",5
5093,,"Navy Blue","Gasoline (I-4)","CVT",5
363037,,"Grey","Gas","8-speed automatic",5
855778,,"Red","Gasoline (V6)","8-speed shiftable automatic",7
895185,,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
32824,,"Red","Turbocharged Gas 3-Cyl","6-speed automatic",5
68761,,"Black","V6","10-speed automatic",8
176837,,"Black","Gas","10-speed shiftable automatic",5
144624,52225,"Black","Gasoline (V6)","Xtronic CVT®",5
749150,,"Black","Gas/Electric I-4","CVT w/OD",5
29716,,"White","Gas (V6)","9-speed automatic",5
556796,,"Black","Gasoline (V6)","Xtronic CVT®",5
965205,,"Navy Blue","Gasoline (V6)","8-speed shiftable automatic",7
427937,,"Black","V6","10-speed automatic",8
251504,,"Navy Blue","Turbocharged Gas I4","6-speed automatic",3
480268,,"Silver","Turbocharged Gas I4","6-speed automatic",3
280620,,"Grey","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
931843,,"Navy Blue","Gas","10-speed shiftable automatic",5
256759,,"Red","Gas (V6)","8-speed shiftable automatic",7
666323,,"Silver","Gas/Electric I-4","CVT",5
235221,,"White","Gas","10-speed shiftable automatic",5
520821,,"Black","Gas/Electric I-4","CVT",5
741761,39908,"Silver","Gas (V6)","9-speed automatic",5
969929,53409,"Silver","Gas/Electric I-4","CVT",5
180230,,"Black","Gas (V6)","9-speed automatic",5
564871,,"Navy Blue","Gas","6-speed shiftable automatic",5
920961,,"Navy Blue","Gasoline (V6)","8-speed shiftable automatic",7
715818,,"White","Gas (V6)","9-speed automatic",5
507579,,"Red","Gas/Electric I-4","CVT w/OD",5
697205,,"Silver","Gas (V6)","9-speed automatic",5
153890,,"White","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
542763,,"White","V6","10-speed automatic",8
250710,,"White","Gas (V6)","8-speed shiftable automatic",7
776183,42827,"Silver","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
608553,,"Silver","Gasoline (V6)","9-speed automatic",5
83205,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
747919,79225,"Navy Blue","V6","10-speed automatic",8
856555,,"White","V6","10-speed automatic",8
32020,,"Black","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
430875,,"Silver","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
789001,23041,"Red","Turbocharged Gas 3-Cyl","6-speed automatic",5
817761,,"Red","Gasoline (V6)","8-speed shiftable automatic",7
781612,,"Black","Gas","8-speed automatic",5
693046,,"Black","Gasoline (V6)","8-speed shiftable automatic",7
100423,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
786255,,"Red","Gas","8-speed automatic",5
243218,,"Black","Gasoline (V6)","9-speed automatic",5
943544,64843,"Navy Blue","Gas","10-speed shiftable automatic",5
354891,,"Silver","V6","10-speed automatic",8
94935,,"Silver","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
486430,,"Navy Blue","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
196773,,"White","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
650170,,"White","Gas (V6)","8-speed shiftable automatic",7
219082,,"Black","Gasoline (V6)","8-speed shiftable automatic",7
378464,21254,"Grey","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
693455,,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
223523,,"Silver","Gas","6-speed shiftable automatic",5
368326,,"Navy Blue","Turbocharged Gas I4","6-speed automatic",3
305901,,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
907265,,"Grey","Gas","8-speed automatic",5
698833,,"Black","Gas/Electric I-4","CVT w/OD",5
21390,,"Red","Gas","10-speed shiftable automatic",5
547676,,"Silver","Electric (Battery-powered)","Automatic",5
80618,,"Red","Turbocharged Gas I4","8-speed automatic",5
8027,28985,"Silver","V6","10-speed automatic",8
905274,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
403824,,"Red","Turbocharged Gas I4","8-speed automatic",5
798185,77196,"Silver","V6","10-speed automatic",8
680125,65234,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
362387,,"Black","V6","10-speed automatic",8
567495,,"Silver","Gas (V6)","8-speed shiftable automatic",7
611984,,"White","Gasoline (I-4)","Continuously variable-speed automatic",5
969182,,"White","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
911518,,"Silver","Gas","6-speed shiftable automatic",5
709827,,"White","Turbocharged Gas 3-Cyl","6-speed automatic",5
937025,,"White","Gas","8-speed automatic",5
472968,70258,"Black","Gasoline (I-4)","Continuously variable-speed automatic",5
625852,,"Red","Gas","8-speed automatic",5
17223,31956,"Red","Gas (V6)","8-speed shiftable automatic",7
96619,,"White","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
339859,,"Grey","V6","10-speed automatic",8
422521,55639,"Black","Gas","10-speed shiftable automatic",5
417494,,"White","Electric (Battery-powered)","Automatic",5
803929,,"Silver","V6","10-speed automatic",8
622680,,"Silver","Electric (Battery-powered)","Automatic",5
116466,,"Red","Turbocharged Gas I4","8-speed automatic",5
173547,25904,"Red","Gas","10-speed shiftable automatic",5
744640,,"Grey","Gas (V6)","8-speed shiftable automatic",7
965709,,"Silver","Gas (V6)","8-speed shiftable automatic",7
588658,,"White","Turbocharged Gas I4","6-speed automatic",3
889426,,"Red","Gas (V6)","8-speed shiftable automatic",7
87000,,"Red","Gas/Electric I-4","CVT",5
528102,,"White","Turbocharged Gas 3-Cyl","6-speed automatic",5
775179,,"Green","Gas (V6)","9-speed automatic",5
767342,,"Navy Blue","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
540678,15842,"White","Gasoline (I-4)","CVT",5
753884,,"Green","Gas/Electric I-4","CVT",5
878263,,"White","V6","10-speed automatic",8
535082,,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
56655,75069,"Grey","Gasoline (V6)","8-speed shiftable automatic",7
110705,,"Silver","Electric (Battery-powered)","Automatic",5
634335,21909,"Red","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
249865,,"Black","Gas (V6)","8-speed shiftable automatic",7
384910,,"Silver","Turbocharged Gas I4","6-speed automatic",3
888169,,"Grey","Gasoline (V6)","9-speed automatic",5
802434,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
157000,,"White","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
641982,24245,"Red","Gasoline (I-4)","Continuously variable-speed automatic",5
922269,,"Black","Gasoline (I-4)","Continuously variable-speed automatic",5
357236,,"Red","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
796472,,"White","Gasoline (V6)","8-speed shiftable automatic",7
114499,,"Black","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
602784,,"Navy Blue","Gas (V6)","8-speed shiftable automatic",7
172738,,"White","Gasoline (V6)","Xtronic CVT®",5
985879,73920,"Black","V6","10-speed automatic",8
183221,,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
912783,,"White","V6","10-speed automatic",8
491779,,"Grey","Gas","10-speed shiftable automatic",5
987370,45816,"Black","Turbocharged Gas I4","6-speed automatic",3
856893,,"Navy Blue","Turbocharged Gas I4","8-speed automatic",5
48865,,"White","Gas (V6)","8-speed shiftable automatic",7
551614,31665,"White","Gas/Electric I-4","CVT w/OD",5
954575,,"Red","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
899628,,"Red","Turbocharged Gas I4","8-speed automatic",5
187864,,"White","Turbocharged Gas I4","6-speed automatic",3
752073,,"Red","Turbocharged Gas I4","6-speed automatic",3
718649,,"Silver","Electric (Battery-powered)","Automatic",5
204935,74507,"Grey","Gas (V6)","8-speed shiftable automatic",7
111049,,"White","Gasoline (V6)","Xtronic CVT®",5
147223,,"White","Gas","10-speed shiftable automatic",5
154153,,"White","Turbocharged Gas 3-Cyl","6-speed automatic",5
271105,,"Green","Gasoline (V6)","9-speed automatic",5
582303,,"White","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
113095,,"Navy Blue","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
743521,,"Silver","Gas/Electric I-4","CVT w/OD",5
214139,,"White","Gasoline (I-4)","CVT",5
172693,,"Black","Gas/Electric I-4","CVT w/OD",5
476100,,"Navy Blue","V6","10-speed automatic",8
296178,,"Red","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
6990,59234,"Green","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
98431,39645,"Black","Gas (V6)","9-speed automatic",5
435625,,"Black","Gasoline (V6)","8-speed shiftable automatic",7
353852,,"Red","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
212463,29994,"Red","V6","10-speed automatic",8
481230,,"Black","Turbocharged Gas I4","8-speed automatic",5
857240,,"Grey","Gasoline (V6)","8-speed shiftable automatic",7
995846,,"White","Turbocharged Gas 3-Cyl","6-speed automatic",5
5432,,"Grey","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
377276,,"Grey","Gasoline (V6)","8-speed shiftable automatic",7
767600,,"Green","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
789025,,"Red","Gasoline (V6)","Xtronic CVT®",5
926845,,"Red","Gas","10-speed shiftable automatic",5
743889,,"White","Gasoline (I-4)","CVT",5
938221,,"Green","Gas/Electric I-4","CVT",5
481611,,"Red","Gasoline (V6)","8-speed shiftable automatic",7
954878,,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
529862,,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
490206,,"Grey","Gas","10-speed shiftable automatic",5
2705,,"Black","Gas (V6)","8-speed shiftable automatic",7
479037,,"Black","Gas (V6)","9-speed automatic",5
326287,73059,"Red","Gas/Electric I-4","CVT",5
891316,,"White","Gasoline (V6)","8-speed shiftable automatic",7
622058,,"Grey","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
74411,,"Red","Gas/Electric I-4","CVT",5
936081,,"Grey","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
890337,,"Navy Blue","Gas","8-speed automatic",5
176707,,"White","Turbocharged Gas I4","6-speed automatic",3
256075,,"Green","Gasoline (V6)","8-speed shiftable automatic",7
477039,,"Navy Blue","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
583363,,"Black","V6","10-speed automatic",8
197873,,"Red","Gasoline (I-4)","Continuously variable-speed automatic",5
682388,,"Green","Gasoline (V6)","8-speed shiftable automatic",7
37889,,"Black","Gasoline (V6)","9-speed automatic",5
815221,,"Green","Turbocharged Gas I4","6-speed automatic",3
96298,,"Grey","Turbocharged Gas I4","8-speed automatic",5
505330,,"Navy Blue","Electric (Battery-powered)","Automatic",5
986087,,"Red","Gas","10-speed shiftable automatic",5
502127,,"Silver","Turbocharged Gas 3-Cyl","6-speed automatic",5
159270,,"Navy Blue","Gasoline (V6)","9-speed automatic",5
430830,,"White","V6","10-speed automatic",8
561358,,"Red","Gasoline (I-4)","Continuously variable-speed automatic",5
759590,,"Black","Turbocharged Gas 3-Cyl","6-speed automatic",5
338010,,"White","Gasoline (I-4)","Continuously variable-speed automatic",5
612246,,"Red","Gasoline (V6)","Xtronic CVT®",5
40413,,"Navy Blue","Gasoline (I-4)","CVT",5
900483,,"Red","Turbocharged Gas 3-Cyl","6-speed automatic",5
509283,,"Green","Turbocharged Gas 3-Cyl","6-speed automatic",5
147483,,"White","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
378081,,"White","Gasoline (V6)","9-speed automatic",5
435600,,"Red","Electric (Battery-powered)","Automatic",5
132789,,"Green","Gas (V6)","8-speed shiftable automatic",7
288145,,"Silver","Gas","6-speed shiftable automatic",5
883892,,"White","Gasoline (I-4)","Continuously variable-speed automatic",5
245838,22890,"Black","Gas (V6)","8-speed shiftable automatic",7
444663,,"White","Gasoline (V6)","8-speed shiftable automatic",7
795251,,"White","Gas","10-speed shiftable automatic",5
717764,65335,"Navy Blue","Gas","6-speed shiftable automatic",5
718337,,"Grey","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
677702,,"Black","V6","10-speed automatic",8
64779,,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
827248,,"Silver","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
156642,,"Navy Blue","Gas/Electric I-4","CVT",5
479713,,"Red","Electric (Battery-powered)","Automatic",5
485483,,"White","Turbocharged Gas I4","6-speed automatic",3
622600,26712,"White","Turbocharged Gas I4","8-speed automatic",5
739892,,"Red","Gas","8-speed automatic",5
999614,,"Black","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
860509,,"Black","Electric (Battery-powered)","Automatic",5
538591,49140,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
395124,34107,"Silver","Electric (Battery-powered)","Automatic",5
331369,,"Silver","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
15509,,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
826541,13035,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
562371,,"White","Turbocharged Gas 3-Cyl","6-speed automatic",5
956592,,"White","Gasoline (I-4)","CVT",5
476784,,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
46970,,"Red","Gas (V6)","9-speed automatic",5
94137,,"White","Gas","6-speed shiftable automatic",5
575749,,"Red","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
302051,,"Silver","Gas","10-speed shiftable automatic",5
176188,,"White","Electric (Battery-powered)","Automatic",5
997967,,"White","Turbocharged Gas I4","6-speed automatic",3
72802,,"Black","Gasoline (I-4)","Continuously variable-speed automatic",5
463996,,"Red","Gas/Electric I-4","CVT w/OD",5
996654,51063,"Silver","Turbocharged Gas I4","6-speed automatic",3
41404,,"Red","Gasoline (V6)","8-speed shiftable automatic",7
423088,,"Black","Electric (Battery-powered)","Automatic",5
548235,,"White","Gasoline (I-4)","Continuously variable-speed automatic",5
156664,,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
565327,69742,"Navy Blue","Gas/Electric I-4","CVT",5
690844,,"Grey","Gasoline (V6)","8-speed shiftable automatic",7
213068,,"Navy Blue","Electric (Battery-powered)","Automatic",5
324377,,"Black","Gasoline (I-4)","Continuously variable-speed automatic",5
10575,,"Black","Gasoline (V6)","Xtronic CVT®",5
413943,,"Black","V6","10-speed automatic",8
439924,36726,"Red","Gasoline (V6)","8-speed shiftable automatic",7
602250,,"Grey","Gas","8-speed automatic",5
326590,,"Grey","Turbocharged Gas I4","6-speed automatic",3
850584,33728,"Green","Electric (Battery-powered)","Automatic",5
884086,17134,"Red","Turbocharged Gas I4","6-speed automatic",3
317667,,"Green","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
974146,,"Black","V6","10-speed automatic",8
994509,,"Grey","Gasoline (I-4)","CVT",5
37893,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
690476,,"Red","Gas (V6)","8-speed shiftable automatic",7
858038,,"White","Turbocharged Gas I4","6-speed automatic",3
260546,,"White","Turbocharged Gas 3-Cyl","6-speed automatic",5
326974,,"Black","Gasoline (V6)","8-speed shiftable automatic",7
533942,,"White","Gasoline (V6)","9-speed automatic",5
567449,,"White","V6","10-speed automatic",8
904761,,"Red","Gasoline (V6)","Xtronic CVT®",5
25351,,"Grey","Turbocharged Gas I4","6-speed automatic",3
409532,8097,"Grey","Gas (V6)","9-speed automatic",5
292348,,"Red","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
790555,,"Red","Gasoline (I-4)","Continuously variable-speed automatic",5
234732,,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
231294,,"Black","Gas","6-speed shiftable automatic",5
818016,,"Green","Gas (V6)","9-speed automatic",5
735730,,"Grey","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
850304,,"Red","Turbocharged Gas I4","6-speed automatic",3
910031,,"Red","Turbocharged Gas 3-Cyl","6-speed automatic",5
490659,,"Silver","Gas","10-speed shiftable automatic",5
451119,,"Silver","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
315236,,"Silver","Gas","8-speed automatic",5
453007,5205,"Silver","Gas/Electric I-4","CVT",5
902573,17885,"Silver","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
147684,69159,"Grey","Gas (V6)","8-speed shiftable automatic",7
35613,,"Red","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
987706,,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
658740,,"Red","Gas (V6)","8-speed shiftable automatic",7
335032,,"Grey","Gas/Electric I-4","CVT w/OD",5
392755,,"Black","V6","10-speed automatic",8
759084,,"Navy Blue","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
347764,,"Black","Gas (V6)","8-speed shiftable automatic",7
835817,,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
831557,,"Silver","Gas/Electric I-4","CVT w/OD",5
910481,,"Red","V6","10-speed automatic",8
467706,51358,"Red","Gasoline (V6)","9-speed automatic",5
751722,,"Red","Gas (V6)","8-speed shiftable automatic",7
384069,41249,"Black","Electric (Battery-powered)","Automatic",5
637484,,"Red","Electric (Battery-powered)","Automatic",5
616109,,"White","Gas (V6)","8-speed shiftable automatic",7
771951,,"White","Turbocharged Gas I4","8-speed automatic",5
346342,,"White","Gas/Electric I-4","CVT",5
998535,,"Grey","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
720807,,"Silver","Gasoline (V6)","Xtronic CVT®",5
4236,,"White","V6","10-speed automatic",8
457164,,"White","Gasoline (I-4)","CVT",5
911144,,"White","Gasoline (V6)","9-speed automatic",5
137911,,"White","V6","10-speed automatic",8
434963,,"Red","Gasoline (V6)","8-speed shiftable automatic",7
897028,24051,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
265423,,"Red","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
928017,,"Red","Turbocharged Gas I4","6-speed automatic",3
736713,71316,"Black","Gas/Electric I-4","CVT w/OD",5
225709,,"Navy Blue","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
735856,39302,"White","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
17646,,"Green","Gas/Electric I-4","CVT",5
448974,,"Black","Gas/Electric I-4","CVT",5
446424,,"White","Gas","8-speed automatic",5
442645,,"Black","Gas/Electric I-4","CVT",5
141048,16401,"Red","V6","10-speed automatic",8
380076,,"White","Gasoline (V6)","9-speed automatic",5
287489,53994,"Grey","Gasoline (I-4)","CVT",5
687518,,"Silver","Gasoline (I-4)","Continuously variable-speed automatic",5
457972,,"Red","Turbocharged Gas I4","6-speed automatic",3
79118,,"White","Gasoline (V6)","9-speed automatic",5
600780,,"Silver","Gasoline (I-4)","Continuously variable-speed automatic",5
55404,,"Red","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
165045,26616,"Green","Electric (Battery-powered)","Automatic",5
486788,,"Silver","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
220390,,"Grey","Turbocharged Gas I4","6-speed automatic",3
137970,,"White","Gas","10-speed shiftable automatic",5
318816,,"Grey","Gas/Electric I-4","CVT w/OD",5
177548,41024,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
117122,,"White","V6","10-speed automatic",8
706495,,"White","Electric (Battery-powered)","Automatic",5
533486,40880,"Navy Blue","Gas/Electric I-4","CVT",5
230368,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
385398,,"Black","Gasoline (I-4)","Continuously variable-speed automatic",5
776471,,"Black","Gasoline (V6)","8-speed shiftable automatic",7
668031,63612,"White","Gas","10-speed shiftable automatic",5
849669,,"Grey","Gasoline (I-4)","Continuously variable-speed automatic",5
631725,,"Silver","Gasoline (V6)","9-speed automatic",5
31903,63504,"Red","V6","10-speed automatic",8
917412,,"Red","Gas (V6)","8-speed shiftable automatic",7
249825,,"Red","Gasoline (V6)","9-speed automatic",5
1576,,"Red","Gas/Electric I-4","CVT",5
521211,30773,"White","Gasoline (V6)","9-speed automatic",5
584941,,"White","Gasoline (I-4)","Continuously variable-speed automatic",5
246877,,"Green","Gas (V6)","9-speed automatic",5
927960,,"Red","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
412640,60181,"White","Turbocharged Gas 3-Cyl","6-speed automatic",5
34146,,"Grey","Electric (Battery-powered)","Automatic",5
919160,,"Grey","Electric (Battery-powered)","Automatic",5
508672,,"Red","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
763548,12937,"Grey","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
716366,,"White","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
961708,,"Navy Blue","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
400033,,"Black","Gasoline (V6)","8-speed shiftable automatic",7
676498,,"Black","Gas","6-speed shiftable automatic",5
247374,,"White","Gas","6-speed shiftable automatic",5
246256,,"Black","Turbocharged Gas I4","6-speed automatic",3
934596,,"Red","Gasoline (I-4)","CVT",5
572369,,"Grey","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
410345,,"Grey","Turbocharged Gas 3-Cyl","6-speed automatic",5
323810,,"Red","Gasoline (V6)","8-speed shiftable automatic",7
342258,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
209866,,"Black","Electric (Battery-powered)","Automatic",5
42444,,"Red","Gas (V6)","8-speed shiftable automatic",7
820500,,"Red","Gas (V6)","8-speed shiftable automatic",7
163451,,"Red","Gas/Electric I-4","CVT w/OD",5
334712,,"Green","Gas","6-speed shiftable automatic",5
129884,27318,"Grey","Gasoline (V6)","8-speed shiftable automatic",7
240505,76962,"Black","V6","10-speed automatic",8
273410,70774,"Grey","V6","10-speed automatic",8
904728,,"Silver","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
876709,,"White","Gasoline (I-4)","Continuously variable-speed automatic",5
955526,,"Silver","Gasoline (V6)","Xtronic CVT®",5
256791,,"White","Turbocharged Gas I4","8-speed automatic",5
412876,,"Green","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
798356,63289,"Black","Electric (Battery-powered)","Automatic",5
605876,,"Navy Blue","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
390616,,"Black","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
590099,48625,"Red","V6","10-speed automatic",8
267478,,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
58985,,"Navy Blue","Gasoline (V6)","8-speed shiftable automatic",7
325616,,"Navy Blue","Electric (Battery-powered)","Automatic",5
247143,,"White","Gas","6-speed shiftable automatic",5
422254,,"Black","Gasoline (I-4)","CVT",5
2093,,"Navy Blue","Gasoline (V6)","8-speed shiftable automatic",7
963718,,"Black","Gas","6-speed shiftable automatic",5
264973,29442,"Red","Gasoline (I-4)","CVT",5
745957,,"White","Gasoline (I-4)","CVT",5
632726,,"Silver","Gas (V6)","8-speed shiftable automatic",7
942622,,"Grey","Turbocharged Gas I4","8-speed automatic",5
259320,,"Black","V6","10-speed automatic",8
253746,,"White","Turbocharged Gas I4","6-speed automatic",3
932988,,"Red","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
396781,,"Grey","Gasoline (V6)","Xtronic CVT®",5
657633,,"Black","V6","10-speed automatic",8
900491,,"Red","Gas (V6)","9-speed automatic",5
370937,,"Navy Blue","Gas","10-speed shiftable automatic",5
509867,,"Silver","Gas (V6)","9-speed automatic",5
499436,,"Red","Gasoline (V6)","8-speed shiftable automatic",7
3902,,"Silver","Turbocharged Gas 3-Cyl","6-speed automatic",5
295614,,"White","Gas/Electric I-4","CVT w/OD",5
42245,14646,"Green","Gas (V6)","8-speed shiftable automatic",7
733749,,"Navy Blue","Turbocharged Gas 3-Cyl","6-speed automatic",5
199898,,"Grey","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
978751,50972,"Navy Blue","V6","10-speed automatic",8
606241,41564,"Grey","Gas","10-speed shiftable automatic",5
455636,,"White","Gas (V6)","8-speed shiftable automatic",7
818328,,"White","Turbocharged Gas I4","8-speed automatic",5
827302,,"Navy Blue","Gas/Electric I-4","CVT",5
387084,,"Red","Gas","10-speed shiftable automatic",5
568447,,"Black","Turbocharged Gas 3-Cyl","6-speed automatic",5
75382,,"Black","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
920515,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
51189,,"Grey","Gasoline (V6)","8-speed shiftable automatic",7
59332,,"Silver","Gas (V6)","9-speed automatic",5
79959,,"Black","Gas","10-speed shiftable automatic",5
859481,,"White","Gas (V6)","9-speed automatic",5
880389,,"White","Electric (Battery-powered)","Automatic",5
136598,,"Silver","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
57104,,"White","V6","10-speed automatic",8
547586,,"Black","Gas","6-speed shiftable automatic",5
429296,,"Black","Electric (Battery-powered)","Automatic",5
929514,,"Grey","Turbocharged Gas I4","8-speed automatic",5
945737,,"White","Gasoline (V6)","Xtronic CVT®",5
